smiles	smiles-out
n1c2c(c(O)cc1)cc(cc2)C	n1c2c(c(O)cc1)cc(cc2)C
Brc1ccc(cc1)C(OCCCO)CC	Brc1ccc(cc1)C(OCCCO)CC
C1(=O)C(=O)C(=C(C1=O)O)O	C1(=O)C(=O)C(=C(C1=O)O)O
c12c(c(CP(=O)(OCC)OCC)c3c(cccc3)c1)cccc2	c12c(c(CP(=O)(OCC)OCC)c3c(cccc3)c1)cccc2
O(P(=O)(OCC)Cc1cccc2c1cccc2)CC	O(P(=O)(OCC)Cc1cccc2c1cccc2)CC
c12cc3c(cc1cc1c(cc4c(cccc4)c1)c2)cccc3	c12cc3c(cc1cc1c(cc4c(cccc4)c1)c2)cccc3
c1cc(c2ccc(s2)c2ccc(c3ccccc3)s2)sc1c1ccc(c2ccc(c3ccccc3)s2)s1	c1cc(c2ccc(s2)c2ccc(c3ccccc3)s2)sc1c1ccc(c2ccc(c3ccccc3)s2)s1
c12c(n(c(n2)C)c2c(cc(cc2C)C)C)nc(cc1NC(=O)CCl)C	c12c(n(c(n2)C)c2c(cc(cc2C)C)C)nc(cc1NC(=O)CCl)C
c12c(c(nc(n2)C)Cl)[nH]c(=O)n1c1c(cc(C(C)C)cc1)Br	c12c(c(nc(n2)C)Cl)[nH]c(=O)n1c1c(cc(C(C)C)cc1)Br
c1(ccc(C(c2ccc(cc2)OCC2OC2)C(c2ccc(OCC3OC3)cc2)c2ccc(OCC3OC3)cc2)cc1)OCC1OC1	c1(ccc(C(c2ccc(cc2)OCC2OC2)C(c2ccc(OCC3OC3)cc2)c2ccc(OCC3OC3)cc2)cc1)OCC1OC1
c1cc(ccc1)P(=O)(c1ccccc1)c1ccccc1	c1cc(ccc1)P(=O)(c1ccccc1)c1ccccc1
C1CC1Nc1nc(Nc2cc(C#N)c(cc2)N2CCNCC2)nc2c1scc2	C1CC1Nc1nc(Nc2cc(C#N)c(cc2)N2CCNCC2)nc2c1scc2
c1c(N2CCOCC2)ccc(c1)Nc1nc2c(c(NCC(F)(F)F)n1)scc2	c1c(N2CCOCC2)ccc(c1)Nc1nc2c(c(NCC(F)(F)F)n1)scc2
C1(CCNCC1)c1ccc(cc1)Nc1nc2c(scc2)c(NC2CC2)n1	C1(CCNCC1)c1ccc(cc1)Nc1nc2c(scc2)c(NC2CC2)n1
c1(c2sccc2nc(n1)Nc1ccc(C2CN(C(=O)C)CCO2)cc1)NC1CC1	c1(c2sccc2nc(n1)Nc1ccc(C2CN(C(=O)C)CCO2)cc1)NC1CC1
C(c1cc(CP2(=O)Oc3ccccc3c3c2cccc3)cc(C(C)(C)C)c1O)(C)(C)C	C(c1cc(CP2(=O)Oc3ccccc3c3c2cccc3)cc(C(C)(C)C)c1O)(C)(C)C
c12cc(O)c(cc1cccc2)C(=O)Nc1cc(C)ccc1	c12cc(O)c(cc1cccc2)C(=O)Nc1cc(C)ccc1
c1cc2c(cc1c1nc(C(Cl)(Cl)Cl)nc(C(Cl)(Cl)Cl)n1)OCO2	c1cc2c(cc1c1nc(C(Cl)(Cl)Cl)nc(C(Cl)(Cl)Cl)n1)OCO2
C(COC(=O)C=C)(COC(=C)C=C)(C)C	C(COC(=O)C=C)(COC(=C)C=C)(C)C
C(=O)(C(=O)C)C	C(=O)(C(=O)C)C
c1cn(c(CO/N=C(\c2ccc(cc2)S(=O)(=O)C2CC2)/C(=O)Nc2sc(F)cn2)n1)C	c1cn(c(CO/N=C(\c2ccc(cc2)S(=O)(=O)C2CC2)/C(=O)Nc2sc(F)cn2)n1)C
c12ccc(nc1sc(N)n2)O	c12ccc(nc1sc(N)n2)O
C(=O)(OC)c1cc2[nH]cnc2c(F)c1Nc1c(cc(cc1)OC(F)(F)F)C	C(=O)(OC)c1cc2[nH]cnc2c(F)c1Nc1c(cc(cc1)OC(F)(F)F)C
c12ccccc1C(c1ccc(OC)cc1)(c1ccc(OC)cc1)c1ccccc21	c12ccccc1C(c1ccc(OC)cc1)(c1ccc(OC)cc1)c1ccccc21
C(=O)(P(=O)(C(=O)C)C)C	C(=O)(P(=O)(C(=O)C)C)C
c1cc(P(=O)O)ccc1	c1cc(P(=O)O)ccc1
c1ccc2c(c1)ccc(c2c1c2c(cccc2)ccc1OCC(=O)Cl)OCC(=O)Cl	c1ccc2c(c1)ccc(c2c1c2c(cccc2)ccc1OCC(=O)Cl)OCC(=O)Cl
C(COc1c2c(c(cc1)OCC(OC(=O)C=C)COCCCC)cccc2)(COCCCC)OC(=O)C=C	C(COc1c2c(c(cc1)OCC(OC(=O)C=C)COCCCC)cccc2)(COCCCC)OC(=O)C=C
c1(c2ccc3c(c2)c2cc(c4ccccc4)ccc2n3c2cc(n3nc(c4ccccc4)cc3c3ccccc3)ccc2)ccccc1	c1(c2ccc3c(c2)c2cc(c4ccccc4)ccc2n3c2cc(n3nc(c4ccccc4)cc3c3ccccc3)ccc2)ccccc1
c1(c2ccccc2)cc(c2ccccc2)nn1c1cc(c2cc(n3nc(c4ccccc4)cc3c3ccccc3)cc(c2)n2c3ccccc3c3c2cccc3)cc(c1)n1c2ccccc2c2c1cccc2	c1(c2ccccc2)cc(c2ccccc2)nn1c1cc(c2cc(n3nc(c4ccccc4)cc3c3ccccc3)cc(c2)n2c3ccccc3c3c2cccc3)cc(c1)n1c2ccccc2c2c1cccc2
c1cc(P(=O)(c2ccccc2)Cl)ccc1	c1cc(P(=O)(c2ccccc2)Cl)ccc1
c1(N)ccc(c2nc3c(o2)cc2c(oc(c4ccc(N)cc4)n2)c3)cc1	c1(N)ccc(c2nc3c(o2)cc2c(oc(c4ccc(N)cc4)n2)c3)cc1
c1(N(c2ccc(CCCOC(=O)C=C)cc2)c2ccc(cc2)CCCOC(=O)C=C)ccc(C)c(C)c1	c1(N(c2ccc(CCCOC(=O)C=C)cc2)c2ccc(cc2)CCCOC(=O)C=C)ccc(C)c(C)c1
c1ccc2c(/c/3=N/C4=N/C(=N\c5[nH]c(/N=C\6/c7c(C(=N6)/N=c/2\[nH]3)cccc7)c2c5cccc2)/c2c4cccc2)c1	c1ccc2c(/c/3=N/C4=N/C(=N\c5[nH]c(/N=C\6/c7c(C(=N6)/N=c/2\[nH]3)cccc7)c2c5cccc2)/c2c4cccc2)c1
P(=O)(C)(C)C	P(=O)(C)(C)C
c12c(c(N)ccc1)[nH]cc2Cl	c12c(c(N)ccc1)[nH]cc2Cl
c12c(c(N(O)O)ccc1)[nH]cc2Cl	c12c(c(N(O)O)ccc1)[nH]cc2Cl
c1cc(c2nc(c3ccccc3)cc(c3cccc(c4cc(c5ccccc5)nc(c5ccccc5)c4)c3)c2)ccc1	c1cc(c2nc(c3ccccc3)cc(c3cccc(c4cc(c5ccccc5)nc(c5ccccc5)c4)c3)c2)ccc1
O=C1c2cccc(c2C(=O)C=C1)O	O=C1c2cccc(c2C(=O)C=C1)O
c1(C(=O)Cl)ccc(Oc2ccc(C(=O)Cl)cc2)cc1	c1(C(=O)Cl)ccc(Oc2ccc(C(=O)Cl)cc2)cc1
c1ccc2c3c1c1cccc4c1c(ccc4)c3ccc2	c1ccc2c3c1c1cccc4c1c(ccc4)c3ccc2
O1CC1COc1ccc2c(c1)cc(OCC1OC1)cc2Cc1c2ccc(cc2cc(OCC2CO2)c1)OCC1CO1	O1CC1COc1ccc2c(c1)cc(OCC1OC1)cc2Cc1c2ccc(cc2cc(OCC2CO2)c1)OCC1CO1
c1(/N=N\c2c(c(C(=O)Nc3ccc(N(C)C)cc3)cc3c2cccc3)O)ccc(N2C(=O)c3c(cc(/N=N/c4c(c(cc5c4cccc5)CONc4ccc(N(C)C)cc4)O)cc3)C2=O)cc1	c1(/N=N\c2c(c(C(=O)Nc3ccc(N(C)C)cc3)cc3c2cccc3)O)ccc(N2C(=O)c3c(cc(/N=N/c4c(c(cc5c4cccc5)CONc4ccc(N(C)C)cc4)O)cc3)C2=O)cc1
c1(C)ccc(cc1)/C(=C/c1ccc(N(c2ccc(/C=C(/c3ccc(C)cc3)\c3ccccc3)cc2)c2ccc(cc2)C)cc1)/c1ccccc1	c1(C)ccc(cc1)/C(=C/c1ccc(N(c2ccc(/C=C(/c3ccc(C)cc3)\c3ccccc3)cc2)c2ccc(cc2)C)cc1)/c1ccccc1
c1(N)cc2oc(c3cccc(c3)N)nc2cc1	c1(N)cc2oc(c3cccc(c3)N)nc2cc1
C(COC(=O)c1cccc(C(=O)OCC(C)OC(=O)c2cccc(C(=O)OCC=C)c2)c1)(COC(=O)c1cccc(C(=O)OCC=C)c1)(CC)COC(=O)c1cccc(C(=O)OCC=C)c1	C(COC(=O)c1cccc(C(=O)OCC(C)OC(=O)c2cccc(C(=O)OCC=C)c2)c1)(COC(=O)c1cccc(C(=O)OCC=C)c1)(CC)COC(=O)c1cccc(C(=O)OCC=C)c1
Fc1cc(C(=O)NCc2ccc(C(=O)O)cc2)c(Cc2ccc(cc2)F)nc1	Fc1cc(C(=O)NCc2ccc(C(=O)O)cc2)c(Cc2ccc(cc2)F)nc1
c1(N)ccc2oc(nc2c1)c1ccc(N)cc1	c1(N)ccc2oc(nc2c1)c1ccc(N)cc1
c1c(ccc(O)c1)SCC(=O)Nc1ccccc1O	c1c(ccc(O)c1)SCC(=O)Nc1ccccc1O
C(c1c(c(C(C)C)ccc1)/N=C/c1c(c(C#N)c(=O)n(CC)c1O)C)(C)C	C(c1c(c(C(C)C)ccc1)/N=C/c1c(c(C#N)c(=O)n(CC)c1O)C)(C)C
C1=CC2C(CC1C2)CN	C1=CC2C(CC1C2)CN
C1(C(=O)O)(CCOCC1)c1ccc(OCCCN2CCCC2)cc1	C1(C(=O)O)(CCOCC1)c1ccc(OCCCN2CCCC2)cc1
C1(Cn2c3c(nc2)cncc3)(CCOCC1)c1ccc(OCCCN2CCCC2)cc1	C1(Cn2c3c(nc2)cncc3)(CCOCC1)c1ccc(OCCCN2CCCC2)cc1
C1COCCC1(c1ccc(OCCCN2CCOCC2)cc1)CNC	C1COCCC1(c1ccc(OCCCN2CCOCC2)cc1)CNC
C1(CN(C)C)(CCOCC1)c1ccc(OCCCN2CCC(CCO)CC2)cc1	C1(CN(C)C)(CCOCC1)c1ccc(OCCCN2CCC(CCO)CC2)cc1
C1(C2CC(=O)OC2=O)C=C(C2C(C1)C(=O)OC2=O)C	C1(C2CC(=O)OC2=O)C=C(C2C(C1)C(=O)OC2=O)C
C1CC(CCC1C)C	C1CC(CCC1C)C
c1(cccc(CNC(=O)OC(C)(C)C)c1)I	c1(cccc(CNC(=O)OC(C)(C)C)c1)I
c1(cccc(CC(=O)O)c1)CC(C)(O)C	c1(cccc(CC(=O)O)c1)CC(C)(O)C
c1(nc(C[Cl](Cl)Cl)nc(c2ccc(c(c2)Br)N(CC(=O)OCC)CC(=O)OCC)n1)C[Cl](Cl)Cl	c1(nc(C[Cl](Cl)Cl)nc(c2ccc(c(c2)Br)N(CC(=O)OCC)CC(=O)OCC)n1)C[Cl](Cl)Cl
C(c1cc(c(O)c(c1)Br)Br)(c1cc(c(O)c(c1)Br)Br)(C)C	C(c1cc(c(O)c(c1)Br)Br)(c1cc(c(O)c(c1)Br)Br)(C)C
n1c(N(COC)COC)nc(N(COC)COC)nc1N(COC)COC	n1c(N(COC)COC)nc(N(COC)COC)nc1N(COC)COC
c1(ccc(cc1)Nc1c2c(C(=O)c3c(C2=O)cc(C(=O)O)cc3)c(Nc2ccc(cc2)C)cc1)C	c1(ccc(cc1)Nc1c2c(C(=O)c3c(C2=O)cc(C(=O)O)cc3)c(Nc2ccc(cc2)C)cc1)C
c12c(cccc1OC)oc(CC)n2	c12c(cccc1OC)oc(CC)n2
OP(=O)(O)C	OP(=O)(O)C
O1P(=O)OCC1	O1P(=O)OCC1
c1(C#N)c(C#N)nc2c(n1)c1c(c3c2nc(C#N)c(n3)C#N)nc(c(C#N)n1)C#N	c1(C#N)c(C#N)nc2c(n1)c1c(c3c2nc(C#N)c(n3)C#N)nc(c(C#N)n1)C#N
c1ccc2c(c1)n(c1ccc(c3ccc(n4c5ccccc5c5c4cccc5)cc3)cc1)c1c2cccc1	c1ccc2c(c1)n(c1ccc(c3ccc(n4c5ccccc5c5c4cccc5)cc3)cc1)c1c2cccc1
