product	reactants	split	reactant_list	reactant_num	product_len	reactants_len
O=C1CC[C@H](CN2CCN(CCOc3cc4ncnc(Nc5ccc(F)c(Cl)c5)c4cc3OC3CCCC3)CC2)O1	CS(=O)(=O)OC[C@H]1CCC(=O)O1.Fc1ccc(Nc2ncnc3cc(OCCN4CCNCC4)c(OC4CCCC4)cc23)cc1Cl	train	['CS(=O)(=O)OC[C@H]1CCC(=O)O1', 'Fc1ccc(Nc2ncnc3cc(OCCN4CCNCC4)c(OC4CCCC4)cc23)cc1Cl']	2	69	79
Nc1nc2[nH]c(CCCc3csc(C(=O)O)c3)cc2c(=O)[nH]1	COC(=O)c1cc(CCCc2cc3c(=O)[nH]c(N)nc3[nH]2)cs1	train	['COC(=O)c1cc(CCCc2cc3c(=O)[nH]c(N)nc3[nH]2)cs1']	1	44	45
CC1(C)OB(c2cccc(Nc3nccc(C(F)(F)F)n3)c2)OC1(C)C	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.FC(F)(F)c1ccnc(Nc2cccc(Br)c2)n1	train	['CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C', 'FC(F)(F)c1ccnc(Nc2cccc(Br)c2)n1']	2	46	68
CC(C)(C)OC(=O)NCC(=O)CCC(=O)OCCCC(=O)O	CC(C)(C)OC(=O)NCC(=O)CCC(=O)OCCCC(=O)OCc1ccccc1	train	['CC(C)(C)OC(=O)NCC(=O)CCC(=O)OCCCC(=O)OCc1ccccc1']	1	38	47
Fc1cc2c(NC3CCCCCC3)ncnc2cn1	Fc1cc2c(Cl)ncnc2cn1.NC1CCCCCC1	train	['Fc1cc2c(Cl)ncnc2cn1', 'NC1CCCCCC1']	2	27	30
COc1ccc(S(=O)(=O)Nc2ccc3c(c2)B(O)OC3)c([N+](=O)[O-])c1	COc1ccc(S(=O)(=O)Cl)c([N+](=O)[O-])c1.Nc1ccc2c(c1)B(O)OC2	train	['COc1ccc(S(=O)(=O)Cl)c([N+](=O)[O-])c1', 'Nc1ccc2c(c1)B(O)OC2']	2	54	57
O=C(NS(=O)(=O)C1CC1)c1cc(C2CC2)c(OCC2CCN(S(=O)(=O)c3cc(Cl)c(Br)cc3F)CC2)cc1F	NS(=O)(=O)C1CC1.O=C(O)c1cc(C2CC2)c(OCC2CCN(S(=O)(=O)c3cc(Cl)c(Br)cc3F)CC2)cc1F	train	['NS(=O)(=O)C1CC1', 'O=C(O)c1cc(C2CC2)c(OCC2CCN(S(=O)(=O)c3cc(Cl)c(Br)cc3F)CC2)cc1F']	2	76	78
C[C@H](NC(=O)c1cc(Cl)cnc1Oc1cccc(F)c1)c1ccc(C(=O)OC(C)(C)C)cc1	C[C@H](NC(=O)c1cc(Cl)cnc1Cl)c1ccc(C(=O)OC(C)(C)C)cc1.Oc1cccc(F)c1	train	['C[C@H](NC(=O)c1cc(Cl)cnc1Cl)c1ccc(C(=O)OC(C)(C)C)cc1', 'Oc1cccc(F)c1']	2	62	65
c1ccc(Cn2ccc3ccccc32)cc1	ClCc1ccccc1.c1ccc2[nH]ccc2c1	train	['ClCc1ccccc1', 'c1ccc2[nH]ccc2c1']	2	24	28
COc1ccc(CN(C(=O)OCc2ccccc2)[C@@H]2C(=O)N(Cc3ccc(OC)cc3OC)[C@@H]2CC=C(Br)Br)cc1	BrC(Br)(Br)Br.COc1ccc(CN(C(=O)OCc2ccccc2)[C@@H]2C(=O)N(Cc3ccc(OC)cc3OC)[C@@H]2CC=O)cc1	train	['BrC(Br)(Br)Br', 'COc1ccc(CN(C(=O)OCc2ccccc2)[C@@H]2C(=O)N(Cc3ccc(OC)cc3OC)[C@@H]2CC=O)cc1']	2	78	86
